"komu" "ile" "kto" "kto_klub" "komu_klub"
"163" "Andrzej Halicki" 2 "Borys Budka" "PO" "PO"
"164" "Anna Paluch" 1 "Borys Budka" "PO" "PiS"
"165" "Anna Zalewska" 1 "Borys Budka" "PO" "PiS"
"166" "Cezary Tomczyk" 1 "Borys Budka" "PO" "PO"
"167" "Grzegorz Schetyna" 1 "Borys Budka" "PO" "PO"
"168" "Henryk Kowalczyk" 2 "Borys Budka" "PO" "PiS"
"169" "Izabela Kloc" 2 "Borys Budka" "PO" "PiS"
"170" "Jakub Rutnicki" 2 "Borys Budka" "PO" "PO"
"171" "Krystyna Pawłowicz" 10 "Borys Budka" "PO" "PiS"
"172" "Krystyna Skowrońska" 2 "Borys Budka" "PO" "PO"
"173" "Marek Suski" 2 "Borys Budka" "PO" "PiS"
"174" "Marzena Machałek" 2 "Borys Budka" "PO" "PiS"
"175" "Piotr Kaleta" 1 "Borys Budka" "PO" "PiS"
"176" "Ryszard Terlecki" 2 "Borys Budka" "PO" "PiS"
"177" "Stanisław Piotrowicz" 1 "Borys Budka" "PO" "PiS"
"178" "Stanisław Szwed" 1 "Borys Budka" "PO" "PiS"
"179" "Agnieszka Pomaska" 1 "Adam Abramowicz" "PiS" "PO"
"180" "Borys Budka" 2 "Adam Abramowicz" "PiS" "PO"
"181" "Ewa Kopacz" 1 "Adam Abramowicz" "PiS" "PO"
"182" "Izabela Leszczyna" 1 "Adam Abramowicz" "PiS" "PO"
"183" "Krystyna Pawłowicz" 1 "Adam Abramowicz" "PiS" "PiS"
"184" "Magdalena Kochan" 1 "Adam Abramowicz" "PiS" "PO"
"185" "Małgorzata Kidawa-Błońska" 1 "Adam Abramowicz" "PiS" "PO"
"186" "Sławomir Neumann" 1 "Adam Abramowicz" "PiS" "PO"
"187" "Stefan Niesiołowski" 1 "Adam Abramowicz" "PiS" "PO"
"188" "Andrzej Maciejewski" 1 "Robert Winnicki" "Kukiz15" "Kukiz15"
"189" "Anna Paluch" 1 "Robert Winnicki" "Kukiz15" "PiS"
"190" "Cezary Grabarczyk" 1 "Robert Winnicki" "Kukiz15" "PO"
"191" "Ewa Kopacz" 2 "Robert Winnicki" "Kukiz15" "PO"
"192" "Grzegorz Długi" 1 "Robert Winnicki" "Kukiz15" "Kukiz15"
"193" "Krystyna Pawłowicz" 1 "Robert Winnicki" "Kukiz15" "PiS"
"194" "Magdalena Kochan" 4 "Robert Winnicki" "Kukiz15" "PO"
"195" "Małgorzata Kidawa-Błońska" 2 "Robert Winnicki" "Kukiz15" "PO"
"196" "Rafał Grupiński" 13 "Robert Winnicki" "Kukiz15" "PO"
"197" "Urszula Augustyn" 1 "Robert Winnicki" "Kukiz15" "PO"
"198" "Joanna Scheuring-Wielgus" 1 "Elżbieta Stępień" "N" "N"
"199" "Jolanta Szczypińska" 1 "Elżbieta Stępień" "N" "PiS"
"200" "Piotr Kaleta" 2 "Elżbieta Stępień" "N" "PiS"
"201" "Stanisław Piotrowicz" 1 "Elżbieta Stępień" "N" "PiS"
"202" "Anna Paluch" 1 "Joanna Schmidt" "N" "PiS"
"203" "Arkadiusz Czartoryski" 1 "Joanna Schmidt" "N" "PiS"
"204" "Barbara Bubula" 1 "Joanna Schmidt" "N" "PiS"
"205" "Jakub Rutnicki" 1 "Joanna Schmidt" "N" "PO"
"206" "Joanna Borowiak" 1 "Joanna Schmidt" "N" "PiS"
"207" "Jolanta Szczypińska" 1 "Joanna Schmidt" "N" "PiS"
"208" "Krystyna Pawłowicz" 3 "Joanna Schmidt" "N" "PiS"
"209" "Krystyna Skowrońska" 1 "Joanna Schmidt" "N" "PO"
"210" "Marek Suski" 2 "Joanna Schmidt" "N" "PiS"
"211" "Maria Zuba" 1 "Joanna Schmidt" "N" "PiS"
"212" "Piotr Kaleta" 1 "Joanna Schmidt" "N" "PiS"
"213" "Tadeusz Dziuba" 1 "Joanna Schmidt" "N" "PiS"
"214" "Zbigniew Dolata" 1 "Joanna Schmidt" "N" "PiS"
"215" "Agnieszka Pomaska" 2 "Krzysztof Brejza" "PO" "PO"
"216" "Anna Paluch" 8 "Krzysztof Brejza" "PO" "PiS"
"217" "Anna Zalewska" 1 "Krzysztof Brejza" "PO" "PiS"
"218" "Arkadiusz Czartoryski" 1 "Krzysztof Brejza" "PO" "PiS"
"219" "Arkadiusz Marchewka" 1 "Krzysztof Brejza" "PO" "PO"
"220" "Arkadiusz Mularczyk" 5 "Krzysztof Brejza" "PO" "PiS"
"221" "Arkadiusz Myrcha" 1 "Krzysztof Brejza" "PO" "PO"
"222" "Artur Szałabawka" 2 "Krzysztof Brejza" "PO" "PiS"
"223" "Cezary Tomczyk" 1 "Krzysztof Brejza" "PO" "PO"
"224" "Elżbieta Radziszewska" 1 "Krzysztof Brejza" "PO" "PO"
"225" "Ewa Kopacz" 2 "Krzysztof Brejza" "PO" "PO"
"226" "Ireneusz Raś" 1 "Krzysztof Brejza" "PO" "PO"
"227" "Iwona Ewa Arent" 1 "Krzysztof Brejza" "PO" "PiS"
"228" "Izabela Kloc" 1 "Krzysztof Brejza" "PO" "PiS"
"229" "Jacek Żalek" 1 "Krzysztof Brejza" "PO" "PiS"
"230" "Jakub Rutnicki" 3 "Krzysztof Brejza" "PO" "PO"
"231" "Jan Krzysztof Ardanowski" 2 "Krzysztof Brejza" "PO" "PiS"
"232" "Jolanta Szczypińska" 1 "Krzysztof Brejza" "PO" "PiS"
"233" "Józefa Szczurek-Żelazko" 1 "Krzysztof Brejza" "PO" "PiS"
"234" "Krystyna Pawłowicz" 15 "Krzysztof Brejza" "PO" "PiS"
"235" "Krystyna Skowrońska" 2 "Krzysztof Brejza" "PO" "PO"
"236" "Krzysztof Brejza 
przemawia przy wyłączonym mikrofonie, poruszenie na sali" 1 "Krzysztof Brejza" "PO" "PO"
"237" "Marek Suski" 8 "Krzysztof Brejza" "PO" "PiS"
"238" "Maria Małgorzata Janyska" 1 "Krzysztof Brejza" "PO" "PO"
